04-08-2022 01:30:46.478 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarting - Starting ServiceApplication using Java 17.0.4 on ASIMs-MacBook-Air.local with PID 84468 (/Users/asimyildiz/Development/microservices/service/fares/build/classes/java/main started by asimyildiz in /Users/asimyildiz/Development/microservices/service/fares)
04-08-2022 01:30:46.511 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
04-08-2022 01:30:54.056 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarted - Started ServiceApplication in 9.163 seconds (JVM running for 11.107)
04-08-2022 01:31:10.142 [http-nio-8080-exec-1] INFO  c.f.s.greeting.GreetingController.sayHello - Inside /greeting handler function
04-08-2022 01:31:10.145 [http-nio-8080-exec-1] INFO  c.f.s.greeting.GreetingController.sayHello - Response => Greeting(id=1, content=Hello from service: Anonymous)
04-08-2022 08:02:43.083 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarting - Starting ServiceApplication using Java 17.0.4 on ASIMs-MacBook-Air.local with PID 89135 (/Users/asimyildiz/Development/microservices/service/fares/build/classes/java/main started by asimyildiz in /Users/asimyildiz/Development/microservices/service/fares)
04-08-2022 08:02:43.087 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
04-08-2022 08:02:46.302 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarted - Started ServiceApplication in 3.704 seconds (JVM running for 4.579)
04-08-2022 08:04:25.324 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarting - Starting ServiceApplication using Java 17.0.4 on ASIMs-MacBook-Air.local with PID 89209 (/Users/asimyildiz/Development/microservices/service/fares/build/classes/java/main started by asimyildiz in /Users/asimyildiz/Development/microservices/service/fares)
04-08-2022 08:04:25.327 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
04-08-2022 08:04:27.618 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarted - Started ServiceApplication in 2.626 seconds (JVM running for 3.191)
04-08-2022 08:05:12.754 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarting - Starting ServiceApplication using Java 17.0.4 on ASIMs-MacBook-Air.local with PID 89248 (/Users/asimyildiz/Development/microservices/service/fares/build/classes/java/main started by asimyildiz in /Users/asimyildiz/Development/microservices/service/fares)
04-08-2022 08:05:12.757 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStartupProfileInfo - The following 1 profile is active: "dev"
04-08-2022 08:05:15.164 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarted - Started ServiceApplication in 2.951 seconds (JVM running for 3.458)
04-08-2022 08:07:07.638 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarting - Starting ServiceApplication using Java 17.0.4 on ASIMs-MacBook-Air.local with PID 89355 (/Users/asimyildiz/Development/microservices/service/fares/build/classes/java/main started by asimyildiz in /Users/asimyildiz/Development/microservices/service/fares)
04-08-2022 08:07:07.643 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStartupProfileInfo - The following 1 profile is active: "'dev'"
04-08-2022 08:07:10.864 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarted - Started ServiceApplication in 3.806 seconds (JVM running for 4.824)
04-08-2022 08:07:32.713 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarting - Starting ServiceApplication using Java 17.0.4 on ASIMs-MacBook-Air.local with PID 89390 (/Users/asimyildiz/Development/microservices/service/fares/build/classes/java/main started by asimyildiz in /Users/asimyildiz/Development/microservices/service/fares)
04-08-2022 08:07:32.718 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStartupProfileInfo - The following 1 profile is active: "dev"
04-08-2022 08:07:36.244 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarted - Started ServiceApplication in 4.154 seconds (JVM running for 5.027)
04-08-2022 08:11:42.636 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarting - Starting ServiceApplication using Java 17.0.4 on ASIMs-MacBook-Air.local with PID 89638 (/Users/asimyildiz/Development/microservices/service/fares/build/classes/java/main started by asimyildiz in /Users/asimyildiz/Development/microservices/service/fares)
04-08-2022 08:11:42.643 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStartupProfileInfo - The following 1 profile is active: "dev"
04-08-2022 08:11:47.014 [restartedMain] INFO  com.flyem.service.ServiceApplication.logStarted - Started ServiceApplication in 5.159 seconds (JVM running for 6.061)
04-08-2022 08:46:50.158 [Test worker] INFO  c.f.service.ServiceApplicationTests.logStarting - Starting ServiceApplicationTests using Java 17.0.4 on ASIMs-MacBook-Air.local with PID 91849 (started by asimyildiz in /Users/asimyildiz/Development/microservices/service/fares)
04-08-2022 08:46:50.160 [Test worker] INFO  c.f.service.ServiceApplicationTests.logStartupProfileInfo - The following 1 profile is active: "dev"
